Title of work,Artist or author display,Start Date,End Date,Date,Type of Item,Partner institutions,"Latitude,Longitude",Latitude,Longitude,Location name,Image (link),Record url,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects
"Narrative of a Journey into Khorasān, in the Years 1821 and 1822","Fraser, James Baillie, 1783-1856",1825,1825,1825,,Library of Congress,"34.52813,69.17233",34.52813,69.17233,"Central and South Asia Afghanistan,Central and South Asia Iran, Islamic Republic of","https://content.wdl.org/iiif/11797,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/11797/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Central Asia,Description and travel,Economic conditions,Library of Congress Afghanistan Project,Manners and customs,Politics and government,,,,,,,,,,,
Taishokan,undefined,1600,1699,"1600,1699",,National Diet Library,"35.6895,139.69171",35.6895,139.69171,East Asia Japan,"https://content.wdl.org/iiif/11834,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/11834/,Literature & rhetoric,Literatures of other specific languages and language families,Literatures of East & Southeast Asia,Folklore,"Fujiwara, Kamatari, 614-669",Japanese literature,"Mythology, Japanese",,,,,,,,,,,,,,,
Kiaochow and Weihaiwei,"Great Britain. Foreign Office. Historical Section,Prothero, G.W. (George Walter), 1848-1922",1920,1920,1920,,Library of Congress,"36.2838899956,120.003329983",36.2838899956,120.003329983,"East Asia China Shandong Province Jiaoxian,East Asia China Shandong Province Weihai","https://content.wdl.org/iiif/11880,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/11880/,Social sciences,Political science,International relations,History & geography,History of Asia,Far East,China & adjacent areas,Description and travel,Economic relations,Foreign relations,Germany--Colonies,Great Britain--Colonies,Handbooks and manuals,Politics and government,Protectorates,Treaties,,,,,,
"History of Afghanistan, from the Earliest Period to the Outbreak of the War of 1878","Malleson, G. B. (George Bruce), 1825-1898",1879,1879,1879,,Library of Congress,"34.52813,69.17233",34.52813,69.17233,"Central and South Asia Afghanistan,Central and South Asia India,Europe Russian Federation,Europe United Kingdom of Great Britain and Northern Ireland","https://content.wdl.org/iiif/12883,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/12883/,History & geography,History of Asia,Far East,Central Asia,Afghan Wars,Colonization,East India Company,Great Britain -- Foreign relations,Great Game (South Asia),Library of Congress Afghanistan Project,Military campaigns,Politics and government,,,,,,,,,,
"The Uganda Journal, Volume 20, Number 2, September 1956","Uganda Literary and Scientific Society,Uganda Society",1956,1956,1956,,National Library of Uganda,"0.31628,32.58219",0.31628,32.58219,Africa Uganda,"https://content.wdl.org/iiif/13818,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/13818/,"Computer science, information, general works",General serial publications,Serials in English,History & geography,History of Africa,Central Africa & offshore islands,African languages,Agriculture,Archaeological sites,Archaeology,Expeditions and surveys,Fish,Grain,Historic sites,Indigenous peoples,Karamojong (African people),Missionaries,Missions,Swamps,Teso (African people),,
The Tale of Kiều,"Pelliot, Paul, 1878-1945,Nguyễn, Du, 1765-1820",1894,1894,1894,,The British Library,"21.0245,105.84117",21.0245,105.84117,Southeast Asia Viet Nam,"https://content.wdl.org/iiif/14287,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/14287/,Literature & rhetoric,Literatures of other specific languages and language families,Literatures of East & Southeast Asia,Poetry,Vietnamese literature,Vietnamese poetry,,,,,,,,,,,,,,,,
A Compilation of Divinations from the Tianyuan Jade Calendar and the Big Dipper Scripture,"Fan, Shifu,Zhan, Bin",1368,1644,"1368,1644",,National Central Library,"39.9075,116.39723",39.9075,116.39723,East Asia China,"https://content.wdl.org/iiif/14404,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/14404/,Philosophy & psychology,Parapsychology & occultism,Specific topics in parapsychology & occultism,History & geography,History of Asia,Far East,China & adjacent areas,"Astrology, Chinese","Calendar, Chinese",Calendars,Divination,Fu (Chinese poetry),Meteorology,Poetry,Weather,,,,,,,
"Cabool: A Personal Narrative of a Journey to, and Residence in that City, in the Years 1836, 7, and 8","Burnes, Alexander, Sir, 1805-1841",1843,1843,1843,,Library of Congress,"34.52813,69.17233",34.52813,69.17233,"Central and South Asia Afghanistan,Central and South Asia India,Central and South Asia Pakistan","https://content.wdl.org/iiif/14409,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/14409/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Central Asia,"Burnes, Alexander, Sir, 1805-1841",Description and travel,Economic conditions,Ethnic groups,Expeditions and surveys,Indus River,Library of Congress Afghanistan Project,Manners and customs,,,,,,,,
"Life of Saint Margaret"" and Lives of Other Saints""",undefined,1060,1080,"1060,1080",,Bavarian State Library,"47.7062399949,11.4152199984",47.7062399949,11.4152199984,Europe Germany Bavaria Benediktbeuern,"https://content.wdl.org/iiif/14696,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/14696/,Religion,Christian moral & devotional theology,Devotional literature,History of Christianity & Christian church,Biography,Christian hagiography,Illuminations,"Margaret, of Antioch, Saint",Saints,,,,,,,,,,,,,
"Of the Nature of Things"" and ""Of the Times"" by Bede. Letters by Saint Jerome and Pseudo-Jerome. Allegorical Drawings with Commentary and Glosses""","Bede, the Venerable, Saint, 673-735,Jerome, Saint, died 419 or 420,Pseudo-Jerome",1025,1099,"1025,1099",,Bavarian State Library,"47.7122999949,11.7581999984",47.7122999949,11.7581999984,Europe Germany Bavaria Tegernsee,"https://content.wdl.org/iiif/14709,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/14709/,Philosophy & psychology,Metaphysics,Cosmology,Religion,Christian moral & devotional theology,Christian ethics,Calendars,Christianity -- Philosophy,Chronology,Ethics,Fantasy in art,Monsters,Timekeeping,,,,,,,,,
