Title of work,Artist or author display,Start Date,End Date,Date,Type of Item,Partner institutions,"Latitude,Longitude",Latitude,Longitude,Location name,Image (link),Record url,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects
"Through Persia in Disguise, with Reminiscences of the Indian Mutiny","Stewart, Charles Edward, 1836-1904,Stewart, Anne Nairne,Stewart, Basil, born 1880",1911,1911,1911,,Library of Congress,"34.52813,69.17233",34.52813,69.17233,"Central and South Asia Afghanistan,Central and South Asia Bangladesh,Central and South Asia Bhutan,Central and South Asia India,Central and South Asia Iran, Islamic Republic of,Central and South Asia Pakistan,Central and South Asia Sri Lanka,Europe United Kingdom of Great Britain and Northern Ireland,Southeast Asia Myanmar","https://content.wdl.org/iiif/16721,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/16721/,Social sciences,Political science,International relations,History & geography,Geography & travel,Geography of & travel in Asia,Afghan Boundary Commission,Colonization,Description and travel,Diplomats,Espionage,Great Britain. Army. British Indian Army,Great Game (South Asia),"India -- History -- Sepoy Rebellion, 1857-1858",Intelligence service,Library of Congress Afghanistan Project,"Lumsden, Peter Stark, Sir, 1829-1918",Military campaigns,Missionaries,Railroads,Spies,"Stewart, Charles Edward, 1836-1904"
Tales of Travel,"Curzon of Kedleston, George Nathaniel Curzon, Marquess, 1859-1925",1923,1923,1923,,Library of Congress,"-8.83682,13.23432",-8.83682,13.23432,"Africa Angola,Africa Malawi,Africa Zambia Southern (Zambia) Livingstone,Africa Zimbabwe,Central and South Asia Afghanistan Badakhshān Sarḩad,Central and South Asia Afghanistan Kābul Kābul,Central and South Asia India Madhya Pradesh Datia,Central and South Asia India Uttar Pradesh Lucknow,Central and South Asia Iran, Islamic Republic of Tehrān Tehrān,Central and South Asia Pakistan Gilgit-Baltistan Bunji,East Asia Japan,Europe United Kingdom of Great Britain and Northern Ireland Saint Helena Jamestown,Latin America and the Caribbean Argentina Misiones Puerto Iguazú,Latin America and the Caribbean Guyana Potaro-Siparuni,Middle East and North Africa Egypt Qinā Qinā,Middle East and North Africa Iraq An-Najaf Najaf,Middle East and North Africa Iraq Babil Al Ḩillah,Middle East and North Africa Kuwait,Middle East and North Africa Tunisia al-Qayrawān,Oceania and the Pacific New Zealand","https://content.wdl.org/iiif/16723,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/16723/,History & geography,Geography & travel,History of Asia,Far East,Central Asia,"Curzon of Kedleston, George Nathaniel Curzon, Marquess, 1859-1925",Description and travel,Deserts,Kings and rulers,"Lawrence, Henry Montgomery, Sir, 1806-1857","Li, Hongzhang, 1823-1901",Library of Congress Afghanistan Project,Manners and customs,"Napoleon I, Emperor of the French, 1769-1821",Voyages and travels,Waterfalls,"ʻAbd al-Raḥmān Khān, Amir of Afghanistan, 1844-1901",,,,,
Central Asian Questions,"Boulger, Demetrius Charles, 1853-1928",1885,1885,1885,,Library of Congress,"34.52813,69.17233",34.52813,69.17233,"Central and South Asia Afghanistan,East Asia China,Europe Russian Federation,Europe United Kingdom of Great Britain and Northern Ireland","https://content.wdl.org/iiif/16728,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/16728/,Social sciences,Political science,International migration & colonization,History & geography,Geography & travel,Geography of & travel in Asia,Colonization,Eastern question (Central Asia),Foreign relations,Great Game (South Asia),Library of Congress Afghanistan Project,,,,,,,,,,,
"The Merv Oasis, Travels and Adventures East of the Caspian during the Years 1879-80-81","O'Donovan, Edmund, 1844-1883",1883,1883,1883,,Library of Congress,"33.0737299959,50.164939993",33.0737299959,50.164939993,"Central and South Asia Iran, Islamic Republic of Eşfahān Bū‘īn va Mīāndasht,Central and South Asia Iran, Islamic Republic of Gīlān Bandar-e Anzalī,Central and South Asia Iran, Islamic Republic of Gīlān Rašt,Central and South Asia Iran, Islamic Republic of Golestān Gorgan,Central and South Asia Iran, Islamic Republic of Khorāsān-e Razavī Dargaz,Central and South Asia Iran, Islamic Republic of Khorāsān-e Razavī Kalāt-e Nāderī,Central and South Asia Iran, Islamic Republic of Khorāsān-e Razavī Mashhad,Central and South Asia Iran, Islamic Republic of Khorāsān-e Razavī Qūchān,Central and South Asia Iran, Islamic Republic of Khorāsān-e Razavī Sabzevar,Central and South Asia Iran, Islamic Republic of Semnān Shahrud,Central and South Asia Iran, Islamic Republic of Tehrān Tehrān,Central and South Asia Pakistan Punjab Attock,Central and South Asia Turkmenistan Balkan Garabogaz,Central and South Asia Turkmenistan Balkan Türkmenbaşy,Central and South Asia Turkmenistan Mary,Central and South Asia Uzbekistan Xorazm Urgench,Middle East and North Africa Azerbaijan Central Division Baku,Middle East and North Africa Turkey Istanbul,Middle East and North Africa Turkey Trabzon Trabzon","https://content.wdl.org/iiif/16729,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/16729/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Central Asia,Description and travel,Eastern question (Central Asia),Ethnology,Exploration and encounters,Kings and rulers,Library of Congress Afghanistan Project,Manners and customs,Merv (Extinct city),Military campaigns,Turkmen,,,,,,
Travels in the Mogul Empire,"Bernier, François, 1620-1688,Brock, Irving",1826,1826,1826,,Library of Congress,"34.52813,69.17233",34.52813,69.17233,"Central and South Asia Afghanistan,Central and South Asia Bangladesh,Central and South Asia Bhutan,Central and South Asia India Gujarāt Sūrat,Central and South Asia India Jammu and Kashmīr,Central and South Asia Pakistan,Middle East and North Africa Egypt Cairo,Middle East and North Africa Israel,Middle East and North Africa Syrian Arab Republic","https://content.wdl.org/iiif/16738,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/16738/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,South Asia,India,Correspondence,Description and travel,Exploration and encounters,Kings and rulers,Letters,Library of Congress Afghanistan Project,Manners and customs,Mogul Empire,,,,,,,
"The History of Arabia, Ancient and Modern","Crichton, Andrew, 1790-1855,King, G. B. (George B.)",1838,1838,1838,,Library of Congress,"30.0626299962,31.2496699957",30.0626299962,31.2496699957,Middle East and North Africa,"https://content.wdl.org/iiif/16777,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/16777/,History & geography,History of Asia,Far East,Arabian Peninsula & adjacent areas,Arabian Peninsula,Arabic literature,Arabs,Bedouins,Civilization,Islam,Islamic Empire,Koran,"Muḥammad, Prophet, died 632",Muslims,Natural history,,,,,,,
British Government in India: The Story of Viceroys and Government Houses,"Curzon of Kedleston, George Nathaniel Curzon, Marquess, 1859-1925",1925,1925,1925,,Library of Congress,"22.562629997,88.3630399877",22.562629997,88.3630399877,Central and South Asia India West Bengal Kolkata,"https://content.wdl.org/iiif/16800,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/16800/,The arts,fine & decorative arts,Architecture,Residential & related buildings,History & geography,History of Asia,Far East,South Asia,India,Afghan Wars,"Black Hole Incident, Kolkata, India, 1756",Description and travel,East India Company,Government buildings,Governors-general,"India -- History -- British occupation, 1765-1947","India -- History -- Sepoy Rebellion, 1857-1858",Kings and rulers,Library of Congress Afghanistan Project,Manners and customs,Politics and government,"Raj Bhavan (Kolkata, India)"
The Dynasty of the Kajars,"Maftūn Dunbulī, ʻAbd al-Razzāq, 1762 or 1763-1827 or 1828,Jones, Harford, Sir, 1764-1847",1833,1833,1833,,Library of Congress,"34.52813,69.17233",34.52813,69.17233,"Central and South Asia Afghanistan,Central and South Asia Iran, Islamic Republic of,Middle East and North Africa Azerbaijan","https://content.wdl.org/iiif/16816,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/16816/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Central Asia,Kings and rulers,Library of Congress Afghanistan Project,"Qajar dynasty, 1794-1925","Qājār, Fatḥ ʻAlī Shāh, Shah of Iran, died 1834","Russo-Persian War, 1804-1813",,,,,,,,,,,
Narrative of a Journey to Kalât,"Masson, Charles, 1800-1853",1843,1843,1843,,Library of Congress,"29.0225099963,66.5915999907",29.0225099963,66.5915999907,Central and South Asia Pakistan Balochistan Kalāt,"https://content.wdl.org/iiif/16817,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/16817/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Central Asia,Afghan Wars,Description and travel,Eastern question (Central Asia),Exploration and encounters,Foreign relations,Great Game (South Asia),Library of Congress Afghanistan Project,Manners and customs,Military campaigns,,,,,,,
Panama and the Canal in Picture and Prose,"Grant, Gordon, 1875-1962,Read, E.J.,Abbot, Willis J. (Willis John), 1863-1934,Wright, F.E.",1913,1913,1913,,Library of Congress,"17.99702,-76.79358",17.99702,-76.79358,"Latin America and the Caribbean Jamaica,Latin America and the Caribbean Panama,North America United States of America","https://content.wdl.org/iiif/16916,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/16916/,Technology (Applied sciences),Engineering & allied operations,Hydraulic engineering,History & geography,Geography & travel,Geography of & travel in South America,Canal construction,"Canals, Interoceanic",Description and travel,"Goethals, George W. (George Washington), 1858-1928",Indigenous peoples,Isthmian Canal Commission (U.S.). Sanitary Department,Locks (Hydraulic engineering),Panama Canal,Panama Railroad Company,Railroads,United States. Army. Corps of Engineers,,,,,
The Countries and Tribes of the Persian Gulf,"Miles, S.B. (Samuel Barrett), 1838-1914",1920,1920,1920,,Library of Congress,"23.61387,58.5922",23.61387,58.5922,Middle East and North Africa Oman,"https://content.wdl.org/iiif/17107,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17107/,History & geography,History of Asia,Far East,Arabian Peninsula & adjacent areas,Arabian Gulf,Arabian Peninsula,Arabian Peninsula--Social life and customs,Persian Gulf,Politics and government,,,,,,,,,,,,,
An Account of the Arab Tribes in the Vicinity of Aden,"Hunter, F. M. (Frederick Mercer), 1844-1898,Sealey, Charles William Henry,Merewether, John Walter Beresford, 1867-1943,Mosse, Arthur Henry Eyre, born 1877",1909,1909,1909,,Library of Congress,"15.35472,44.20667",15.35472,44.20667,Middle East and North Africa Yemen,"https://content.wdl.org/iiif/17123,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17123/,Social sciences,Sociology & anthropology,History & geography,History of Asia,Far East,Arabian Peninsula & adjacent areas,Arabian Peninsula,Arabs,Ethnography,Genealogy,Great Britain. Army,Kings and rulers,Politics and government,Protectorates,Treaties,Tribes,,,,,,
Peking the Beautiful,"Hu, Shi, 1891-1962,White, Herbert C., 1896-1962",1927,1927,1927,,National Library of China,"39.9075,116.39723",39.9075,116.39723,East Asia China Beijing Beijing,"https://content.wdl.org/iiif/17221,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17221/,The arts,fine & decorative arts,Architecture,History & geography,Geography & travel,Geography of & travel in Asia,"Architecture, Chinese",Buddhist temples,Castles and palaces,Gardens,Government buildings,Pagodas,Photograph albums,Photographic surveys,,,,,,,,
Personal Narrative of a Pilgrimage to el Medinah and Meccah,"Burton, Richard Francis, Sir, 1821-1890,Wolley, Thomas Lamplugh",1857,1857,1857,,Library of Congress,"24.46861,39.61417",24.46861,39.61417,"Middle East and North Africa Saudi Arabia Al Madīnah Medina,Middle East and North Africa Saudi Arabia Makkah Mecca","https://content.wdl.org/iiif/17234,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17234/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Arabian Peninsula & adjacent areas,Arabian Peninsula,Arabian Peninsula--Social life and customs,Description and travel,Islam,"Kaʻbah (Mecca, Saudi Arabia)",Masjid al-Ḥarām (The Sacred Mosque) (Mosque : Saudi Arabia),Masjid al-Nabawī al-Sharīf (Mosque of the Prophet) (Mosque : Saudi Arabia),Muslims,Pilgrims and pilgrimages,,,,,,,
"The Journal of John Jourdain, 1608-1617, Describing His Experiences in Arabia, India, and the Malay Archipelago","Hakluyt Society,Jourdain, John, approximately 1572-1619,Foster, William, 1863-1951",1905,1905,1905,,Library of Congress,"28.63576,77.22445",28.63576,77.22445,"Central and South Asia India,Middle East and North Africa Saudi Arabia,Southeast Asia Malaysia","https://content.wdl.org/iiif/17235,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17235/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Ascension (Ship),East India Company,Exploration and encounters,"Jourdain, John, approximately 1572-1619",Mogul Empire,Voyages and travels,,,,,,,,,,,
Behind the Veil in Persia and Turkish Arabia. An Account of an Englishwoman's Eight Years' Residence Amongst the Women of the East,"Hume-Griffith, M. E.,Hume-Griffith, A.",1909,1909,1909,,Library of Congress,"32.65722,51.67761",32.65722,51.67761,"Central and South Asia Iran, Islamic Republic of Eşfahān Eşfahān,Central and South Asia Iran, Islamic Republic of Eşfahān Naţanz,Central and South Asia Iran, Islamic Republic of Gīlān Rašt,Central and South Asia Iran, Islamic Republic of Kermān Kermān,Central and South Asia Iran, Islamic Republic of Tehrān Tehrān,Central and South Asia Iran, Islamic Republic of Yazd Yazd,Middle East and North Africa Iraq Ninawa Mosul","https://content.wdl.org/iiif/17267,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17267/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Iran,Arabian Peninsula--Social life and customs,Church Missionary Society,Description and travel,Islam,Manners and customs,Missionaries,Muslim women -- Social conditions,Women,,,,,,,,
"Travels in the Himalayan Provinces of Hindustan and the Panjab; in Ladakh and Kashmir; in Peshawar, Kabul, Kunduz, and Bokhara","Moorcroft, William, 1767-1825,Trebeck, George,Arrowsmith, John, 1790-1873,Asiatic Society (Kolkata, India),Wilson, H. H. (Horace Hayman), 1786-1860",1841,1841,1841,,Library of Congress,"36.7289499956,68.8569999904",36.7289499956,68.8569999904,"Central and South Asia Afghanistan Kābul Kābul,Central and South Asia Afghanistan Kondoz [Kunduz] Kunduz,Central and South Asia Afghanistan Nangarhār Jalālābād,Central and South Asia India Jammu and Kashmīr,Central and South Asia Pakistan Northwest Frontier Peshāwar,Central and South Asia Pakistan Punjab Rawalpindi,Central and South Asia Uzbekistan Buxoro Viloyati Bukhara","https://content.wdl.org/iiif/17537,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17537/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Central Asia,Description and travel,East India Company,Eastern question (Central Asia),Exploration and encounters,Great Game (South Asia),Himalaya Mountains,Library of Congress Afghanistan Project,"Moorcroft, William, 1767-1825","Trebeck, George",,,,,,,
The History of British India,"Mill, James, 1773-1836",1817,1817,1817,,Library of Congress,"23.7104,90.40744",23.7104,90.40744,"Central and South Asia Bangladesh,Central and South Asia Bhutan,Central and South Asia India,Central and South Asia Pakistan,Central and South Asia Sri Lanka,Southeast Asia Myanmar","https://content.wdl.org/iiif/17538,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17538/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,South Asia,India,Colonization,Description and travel,East India Company,Hinduism and culture,Hindus,Islamic Empire,Library of Congress Afghanistan Project,Manners and customs,Mogul Empire,Muslims,,,,,
"Turkistan: Notes of a Journey in Russian Turkistan, Khokand, Bukhara, and Kuldja","Schuyler, Eugene, 1840-1890",1876,1876,1876,,Library of Congress,"43.2565399951,76.9284799893",43.2565399951,76.9284799893,"Central and South Asia Kazakhstan Almaty Almaty,Central and South Asia Kazakhstan Aqtöbe oblysy Qarabutaq,Central and South Asia Kyrgyzstan,Central and South Asia Tajikistan Sughd Khujand,Central and South Asia Uzbekistan Buxoro Viloyati Bukhara,Central and South Asia Uzbekistan Farg'ona Viloyati Kokand,Central and South Asia Uzbekistan Farg'ona Viloyati Marg‘ilon,Central and South Asia Uzbekistan Qashqadaryo Viloyati Shakhrisabz,Central and South Asia Uzbekistan Samarqand Viloyati Samarkand,Central and South Asia Uzbekistan Toshkent Viloyati Tashkent,Central and South Asia Uzbekistan Xorazm Viloyati Khiva,East Asia China Xinjiang Uyghur Autonomous Region Yining,Europe Russian Federation Orenburg Oblast Orenburg,Europe Russian Federation Orenburg Oblast Orsk","https://content.wdl.org/iiif/17539,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17539/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Central Asia,Colonization,Description and travel,Eastern question (Central Asia),Exploration and encounters,Foreign relations,Great Game (South Asia),Khanate of Khiva,Library of Congress Afghanistan Project,"Russo-Khivan Expedition, 1873","Schuyler, Eugene, 1840-1890",Territories and possessions,,,,,
Persia and the Persian Question,"Curzon of Kedleston, George Nathaniel Curzon, Marquess, 1859-1925",1892,1892,1892,,Library of Congress,"28.9683999963,50.8384999929",28.9683999963,50.8384999929,"Central and South Asia Iran, Islamic Republic of Būshehr Bandar-e Būshehr,Central and South Asia Iran, Islamic Republic of Eşfahān Eşfahān,Central and South Asia Iran, Islamic Republic of Fārs Shiraz,Central and South Asia Iran, Islamic Republic of Golestān Gorgan,Central and South Asia Iran, Islamic Republic of Hormozgān Sardasht,Central and South Asia Iran, Islamic Republic of Kermān Kermān,Central and South Asia Iran, Islamic Republic of Khorāsān-e Razavī Dor Bādām,Central and South Asia Iran, Islamic Republic of Khorāsān-e Razavī Kalāt-e Nāderī,Central and South Asia Iran, Islamic Republic of Khorāsān-e Razavī Mashhad,Central and South Asia Iran, Islamic Republic of Khorāsān-e Razavī Qūchān,Central and South Asia Iran, Islamic Republic of Khūzestān Ahvaz,Central and South Asia Iran, Islamic Republic of Kohgīlūyeh va Būyer Ahmad Mārgown,Central and South Asia Iran, Islamic Republic of Lorestān Khorramabad,Central and South Asia Iran, Islamic Republic of Tehrān Tehrān,Central and South Asia Iran, Islamic Republic of Yazd Yazd,Central and South Asia Turkmenistan Ashgabat,Central and South Asia Turkmenistan Balkan Serdar,Europe France Île-de-France Paris,Europe United Kingdom of Great Britain and Northern Ireland England London,Middle East and North Africa Azerbaijan Central Division Baku,Middle East and North Africa Georgia Tʻbilisi,Middle East and North Africa Georgia Ajaria Batumi,Middle East and North Africa Turkey Istanbul","https://content.wdl.org/iiif/17540,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17540/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Iran,Description and travel,Eastern question (Central Asia),Economic conditions,Exploration and encounters,Great Game (South Asia),Library of Congress Afghanistan Project,Politics and government,"Qajar dynasty, 1794-1925",,,,,,,,
The Wanderer in Arabia or Western Footsteps in Eastern Tracks,"Lowth, G. T. (George T.),Ernst II, Duke of Saxe-Coburg-Gotha, 1818-1893",1855,1855,1855,,Qatar National Library,"15.55177,32.53241",15.55177,32.53241,"Africa Sudan,Africa Sudan Northern Wadi Halfa,Middle East and North Africa Egypt Al Iskandarīyah Alexandria,Middle East and North Africa Egypt Cairo,Middle East and North Africa Israel,Middle East and North Africa Jordan,Middle East and North Africa Lebanon Beirut,Middle East and North Africa Syrian Arab Republic Damascus,Middle East and North Africa Turkey","https://content.wdl.org/iiif/17608,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17608/,History & geography,Geography & travel,Geography of & travel in Africa,History of Africa,Egypt & Sudan,"Crimean War, 1853-1856",Description and travel,Manners and customs,"Muḥammad ʻAlī Bāshā, Governor of Egypt, 1769-1849",Voyages and travels,"ʻAbbās Ḥilmī I, Viceroy of Egypt, approximately 1813-1854",,,,,,,,,,,
Three Years of War in East Africa,"Buchanan, Angus, 1886-1954,Cranworth, Bertram Francis Gurdon, Baron, 1877-1964,Hazell, Watson & Viney",1919,1919,1919,,Qatar National Library,"-3.3822,29.3644",-3.3822,29.3644,"Africa Burundi,Africa Kenya,Africa Rwanda,Africa Tanzania, United Republic of","https://content.wdl.org/iiif/17610,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17610/,History & geography,Geography & travel,Geography of & travel in Africa,History of Africa,Central Africa & offshore islands,"Africa, East",Description and travel,German East Africa,Germany--Colonies,Great Britain--Colonies,Military campaigns,"World War, 1914-1918",,,,,,,,,,
The Spirit of the East,"Urquhart, David, 1805-1877",1839,1839,1839,,Qatar National Library,"41.3275,19.81889",41.3275,19.81889,"Europe Albania,Europe Former Yugoslav Republic of Macedonia,Europe Greece,Europe Greece Peloponnisos Árgos,Europe United Kingdom of Great Britain and Northern Ireland,Middle East and North Africa Turkey","https://content.wdl.org/iiif/17611,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17611/,History & geography,Geography & travel,Geography of & travel in Europe,Geography of & travel in Asia,Description and travel,Diplomatic relations,Manners and customs,"Ottoman Empire, 1288-1918",Voyages and travels,,,,,,,,,,,,,
The Alhambra,"Irving, Washington, 1783-1859,Pennell, Elizabeth Robins, 1855-1936,Pennell, Joseph, 1857-1926",1896,1896,1896,,Qatar National Library,",",,,Europe Spain Andalucía Granada,"https://content.wdl.org/iiif/17613,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17613/,The arts,fine & decorative arts,Architecture,Architecture from ca. 300 to 1399,History & geography,Geography & travel,Geography of & travel in Europe,"Alhambra (Granada, Spain)","Architecture, Spanish","Boabdil, King of Granada, approximately 1460-approximately 1527",Castles and palaces,Description and travel,Legends,,,,,,,,,
"Jerusalem. The Topography, Economics and History from the Earliest Times to A.D. 70","Smith, George Adam, 1856-1942",1907,1908,"1907,1908",,Qatar National Library,"31.76904,35.21633",31.76904,35.21633,Middle East and North Africa Israel Jerusalem,"https://content.wdl.org/iiif/17626,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17626/,Religion,Bible,Old Testament (Tanakh),History & geography,History of ancient world to ca. 499,Palestine to 70,Bible. Old Testament,Cities and towns,Description and travel,Historical geography,History,,,,,,,,,,,
A History of the Eastern Roman Empire from the Fall of Irene to the Accession of Basil I. (A.D. 802-867),"Bury, John Bagnell, 1861-1927",1912,1912,1912,,Qatar National Library,"42.69751,23.32415",42.69751,23.32415,"Europe Bulgaria,Europe Greece,Europe Italy,Europe Russian Federation,Middle East and North Africa Iraq Baghdad Baghdad,Middle East and North Africa Turkey","https://content.wdl.org/iiif/17627,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17627/,History & geography,History of Asia,Far East,Middle East (Near East),Abbasids,Byzantine Empire,History,Kings and rulers,Territories and possessions,,,,,,,,,,,,,
Arabian Poetry for English Readers,"Būṣīrī, Sharaf al-Dīn Muḥammad ibn Saʻīd, 1212-1294,Kaʿb ibn Zuhayr, active 7th century,Clouston, W.A. (William Alexander), 1843-1896,Carlyle, Joseph Dacre, 1759-1804,Jones, William, 1746-1794,Redhouse, James W. (James William), Sir, 1811-1892",1881,1881,1881,,Qatar National Library,"30.0626299962,31.2496699957",30.0626299962,31.2496699957,Middle East and North Africa,"https://content.wdl.org/iiif/17628,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17628/,Literature & rhetoric,Literatures of other specific languages and language families,Afro-Asiatic literatures,Semitic literatures,History & geography,History of Asia,Far East,Arabian Peninsula & adjacent areas,Arabic literature,Arabic poetry,Poetry,,,,,,,,,,,
"Wit and Wisdom from West Africa; Or, A Book of Proverbial Philosophy, Idioms, Enigmas, and Laconisms","Burton, Richard Francis, Sir, 1821-1890,Murray, Henry A. (Henry Anthony), 1810-1865",1865,1865,1865,,Qatar National Library,"6.49646,2.60359",6.49646,2.60359,"Africa Benin,Africa Cameroon,Africa Chad,Africa Gabon,Africa Gambia,Africa Ghana,Africa Mauritania,Africa Niger,Africa Nigeria,Africa Senegal","https://content.wdl.org/iiif/17629,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17629/,Language,Other languages,African languages,Efik language,Gã language,Idioms,Kanuri language,Myene language,Proverbs,Twi language,Wolof language,Yoruba language,,,,,,,,,,
"Narrative of Various Journeys in Balochistan, Afghanistan, the Panjab, and Kalât","Masson, Charles, 1800-1853",1844,1844,1844,,Library of Congress,"34.8215599958,67.8273399906",34.8215599958,67.8273399906,"Central and South Asia Afghanistan Bāmīān Bāmyān,Central and South Asia Afghanistan Parwān Bagrām,Central and South Asia Iran, Islamic Republic of,Central and South Asia Pakistan Balochistan,Central and South Asia Pakistan Punjab,Central and South Asia Pakistan Sindh Karachi","https://content.wdl.org/iiif/17684,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17684/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Central Asia,Archaeology,Coins,Description and travel,Expeditions and surveys,Exploration and encounters,Library of Congress Afghanistan Project,,,,,,,,,,
Afghan Poetry of the Seventeenth Century,"Khwushḥāl Khān, active 17th century,Raverty, H. G. (Henry George), 1825-1906,Biddulph, C. E. (Cuthbert Edward), 1850-1899",1890,1890,1890,,Library of Congress,"34.52813,69.17233",34.52813,69.17233,Central and South Asia Afghanistan,"https://content.wdl.org/iiif/17691,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17691/,Literature & rhetoric,Literatures of other specific languages and language families,East Indo-European & Celtic literatures,History & geography,History of Asia,Far East,Central Asia,Afghan poetry,"Khwushḥāl Khān, active 17th century",Library of Congress Afghanistan Project,Poetry,Pushto language,,,,,,,,,,
At the Court of the Amīr: A Narrative,"Gray, John Alfred",1901,1901,1901,,Library of Congress,"34.008,71.57849",34.008,71.57849,"Central and South Asia Afghanistan Kābul Kābul,Central and South Asia Pakistan Northwest Frontier Peshāwar","https://content.wdl.org/iiif/17692,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17692/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Central Asia,Description and travel,"Gray, John Alfred",Health and hygiene,Hospitals,Kings and rulers,Library of Congress Afghanistan Project,Manners and customs,Medicine,Public health,"ʻAbd al-Raḥmān Khān, Amir of Afghanistan, 1844-1901",,,,,,
England and Russia in the East,"Rawlinson, Henry Creswicke, Sir, 1810-1895",1875,1875,1875,,Library of Congress,"34.52813,69.17233",34.52813,69.17233,"Central and South Asia Afghanistan,Central and South Asia Iran, Islamic Republic of,Europe Russian Federation,Europe United Kingdom of Great Britain and Northern Ireland","https://content.wdl.org/iiif/17717,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17717/,Social sciences,Political science,International relations,History & geography,History of Asia,Far East,Central Asia,Afghan Wars,Colonization,Eastern question (Central Asia),Foreign relations,Great Game (South Asia),Military campaigns,Territorial questions,Territories and possessions,Treaties,,,,,,
"Narrative of a Journey from Heraut to Khiva, Moscow, and St. Petersburgh","Abbott, James, Sir, 1807-1896",1843,1843,1843,,Library of Congress,"34.4999999958,61.9999999914",34.4999999958,61.9999999914,"Central and South Asia Afghanistan Herāt Herat,Central and South Asia Uzbekistan Xorazm Viloyati Khiva,Europe Russian Federation Moscow Moscow,Europe Russian Federation Saint Petersburg Saint Petersburg","https://content.wdl.org/iiif/17720,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/17720/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Central Asia,Colonization,Description and travel,Diplomatic relations,Eastern question (Central Asia),Foreign relations,Great Britain. Army. British Indian Army,Great Game (South Asia),Khanate of Khiva,Military campaigns,Russia. Army,Territorial questions,Territories and possessions,,,,
