Record URL,Place,LatLong
https://www.wdl.org/en/item/7310/,"Central and South Asia Afghanistan","34.52813, 69.17233"
https://www.wdl.org/en/item/2387/,"Central and South Asia Bhutan","27.46609, 89.64191"
https://www.wdl.org/en/item/18540/,"Europe Finland Lapin lääni","67.7499999951, 26.4999999963"
https://www.wdl.org/en/item/18548/,"Central and South Asia Iran, Islamic Republic of","35.69439, 51.42151"
https://www.wdl.org/en/item/7307/,"Central and South Asia Afghanistan","34.52813, 69.17233"
https://www.wdl.org/en/item/11290/,"Europe","48.2084899949, 16.3720799977"
https://www.wdl.org/en/item/638/,"Africa Cape Verde","14.93152, -23.51254"
https://www.wdl.org/en/item/15575/,"East Asia China Sichuan Province","30.4999999962, 102.499999986"
https://www.wdl.org/en/item/11762/,"Africa Eritrea","15.33805, 38.93184"
https://www.wdl.org/en/item/11793/,"Central and South Asia Afghanistan","34.52813, 69.17233"
https://www.wdl.org/en/item/316/,"Middle East and North Africa Armenia","40.18111, 44.51361"
https://www.wdl.org/en/item/2380/,"East Asia Mongolia","47.90771, 106.88324"
https://www.wdl.org/en/item/19226/,"Europe Belgium Flanders","51.0, 4.5"
https://www.wdl.org/en/item/2674/,"Europe United Kingdom of Great Britain and Northern Ireland","51.50853, -0.12574"
https://www.wdl.org/en/item/18554/,"Africa Ethiopia","9.02497, 38.74689"
https://www.wdl.org/en/item/19515/,"Europe Germany Bavaria Passau","48.5664999949, 13.4312199981"
https://www.wdl.org/en/item/17692/,"Central and South Asia Afghanistan Kābul Kābul","34.008, 71.57849"
https://www.wdl.org/en/item/17783/,"Middle East and North Africa Turkey","39.91987, 32.85427"
https://www.wdl.org/en/item/14709/,"Europe Germany Bavaria Tegernsee","47.7122999949, 11.7581999984"
https://www.wdl.org/en/item/14409/,"Central and South Asia Afghanistan","34.52813, 69.17233"
https://www.wdl.org/en/item/26/,"East Asia China","39.9075, 116.39723"
https://www.wdl.org/en/item/2386/,"Central and South Asia Bangladesh","23.7104, 90.40744"
https://www.wdl.org/en/item/2388/,"Central and South Asia Bhutan","27.46609, 89.64191"
https://www.wdl.org/en/item/18550/,"Oceania and the Pacific Australia","-35.28346, 149.12807"
https://www.wdl.org/en/item/252/,"Latin America and the Caribbean Barbados","13.1, -59.61667"
https://www.wdl.org/en/item/18551/,"North America Canada","45.41117, -75.69812"
https://www.wdl.org/en/item/2374/,"East Asia Democratic People's Republic of Korea","39.03385, 125.75432"
https://www.wdl.org/en/item/20062/,"Europe France Somme","49.9166699948, 2.49999999965"
https://www.wdl.org/en/item/2565/,"Africa Malawi","-13.96692, 33.78725"
https://www.wdl.org/en/item/11797/,"Central and South Asia Afghanistan","34.52813, 69.17233"
https://www.wdl.org/en/item/16093/,"Central and South Asia Bangladesh","23.7104, 90.40744"
https://www.wdl.org/en/item/3034/,"Central and South Asia Afghanistan","34.52813, 69.17233"
https://www.wdl.org/en/item/2527/,"Africa Benin","6.49646, 2.60359"
https://www.wdl.org/en/item/2389/,"Southeast Asia Myanmar","19.745, 96.12972"
https://www.wdl.org/en/item/16720/,"Central and South Asia Kazakhstan East Kazakhstan Region Semey","50.4267499948, 80.2666899888"
https://www.wdl.org/en/item/16104/,"Central and South Asia Bangladesh","23.7104, 90.40744"
https://www.wdl.org/en/item/11880/,"East Asia China Shandong Province Jiaoxian","36.2838899956, 120.003329983"
https://www.wdl.org/en/item/16147/,"Central and South Asia Bangladesh","23.7104, 90.40744"
https://www.wdl.org/en/item/16721/,"Central and South Asia Afghanistan","34.52813, 69.17233"
https://www.wdl.org/en/item/16728/,"Central and South Asia Afghanistan","34.52813, 69.17233"
https://www.wdl.org/en/item/2551/,"Africa Ethiopia","9.02497, 38.74689"
