Item ID,filename,imageID,brightness_median,brightness_stdev,saturation_median,saturation_stdev,hue_median,hue_stdev
https://www.wdl.org/en/item/17775,17775.jpg,68,229,20.3671,50,7.1876,21,0.8915
https://www.wdl.org/en/item/17779,17779.jpg,90,236,22.9399,53,8.2848,22,0.8944
https://www.wdl.org/en/item/17782,17782.jpg,106,242,27.6716,52,7.5326,23,1.1079
https://www.wdl.org/en/item/17783,17783.jpg,105,240,17.9201,77,7.0429,23,0.7281
https://www.wdl.org/en/item/17787,17787.jpg,96,228,29.8642,47,8.3447,20,2.4483
https://www.wdl.org/en/item/17789,17789.jpg,77,243,32.9074,62,9.9995,21,3.7205
https://www.wdl.org/en/item/17796,17796.jpg,107,238,27.4385,23,4.2421,22,9.1501
https://www.wdl.org/en/item/17984,17984.jpg,69,176,37.5562,105,12.5376,25,2.8144
https://www.wdl.org/en/item/18003,18003.jpg,152,190,53.9011,81,32.0791,29,2.6901
https://www.wdl.org/en/item/18023,18023.jpg,41,178,63.5562,83,47.2031,29,4.0924
https://www.wdl.org/en/item/18043,18043.jpg,73,111,28.9848,78,23.3271,148,39.7394
https://www.wdl.org/en/item/18044,18044.jpg,43,231,37.6257,38,17.6267,38,4.4965
https://www.wdl.org/en/item/18540,18540.jpg,10,217,16.3667,79,9.389,21,0.9548
https://www.wdl.org/en/item/18541,18541.jpg,16,217,16.0376,59,9.0137,22,0.8991
https://www.wdl.org/en/item/18542,18542.jpg,7,206,17.7236,80,10.214,21,0.8556
https://www.wdl.org/en/item/18544,18544.jpg,28,241,21.9115,72,9.1224,24,0.8801
https://www.wdl.org/en/item/18545,18545.jpg,22,225,17.5557,66,12.415,22,1.0627
https://www.wdl.org/en/item/18546,18546.jpg,33,220,22.52,47,12.0248,25,1.584
https://www.wdl.org/en/item/18547,18547.jpg,40,225,18.4658,68,13.0442,22,1.4964
https://www.wdl.org/en/item/18548,18548.jpg,145,222,19.5842,73,14.943,22,1.324
https://www.wdl.org/en/item/18549,18549.jpg,131,220,18.0557,84,17.1346,22,1.0207
https://www.wdl.org/en/item/18550,18550.jpg,29,221,20.9782,69,12.656,22,1.2439
https://www.wdl.org/en/item/18551,18551.jpg,21,209,16.9532,87,13.1891,22,1.0113
https://www.wdl.org/en/item/18552,18552.jpg,35,220,17.3522,76,14.1738,21,1.336
https://www.wdl.org/en/item/18553,18553.jpg,39,223,19.8926,63,13.7677,23,1.7395
https://www.wdl.org/en/item/18554,18554.jpg,9,219,19.0683,76,14.4581,22,1.0398
https://www.wdl.org/en/item/18555,18555.jpg,18,223,17.7211,70,9.2236,22,1.1536
https://www.wdl.org/en/item/18556,18556.jpg,6,232,19.1211,46,7.0966,25,0.9138
https://www.wdl.org/en/item/1901,1901.jpg,69,176,37.5562,105,12.5376,25,2.8144
https://www.wdl.org/en/item/19079,19079.jpg,134,144,33.9431,61,14.544,24,11.9095
https://www.wdl.org/en/item/19084,19084.jpg,129,162,33.0152,72,12.6761,23,10.4014
https://www.wdl.org/en/item/19092,19092.jpg,136,165,36.8795,61,12.8033,24,16.0927
